State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,2034,2300,4048,5567,6805,7670,12282,11889,17636,42940,64045,68045,75032,63703,63188,85175,90571,116859,145025,157236,153805,122214,237881,239678,258039,214042,208311,251512,288798,321207,326826,367952,383887,375971,367592,432813,443629,425394,434437,422817,437972,413049,420808,415891,407944,434704,375719,372186,343938,343971,334978,339819,347228,332631,329274,333936,330883,343899,346255
AL,190706,191533,201250,211348,230316,236949,240755,262055,296690,310822,307750,294838,287100,279958,282454,271747,232758,248715,244969,291485,278394,281046,253487,230003,239653,227795,210229,214613,243209,253593,252457,261816,288123,302672,299322,332400,337782,337453,341976,349080,368472,344004,389965,360505,391927,363398,402044,430649,414260,466272,544405,609288,677380,625869,650570,701582,715033,681236,770909
AR,222202,215311,235477,252846,278852,277661,289632,295756,321569,349990,383478,334979,317640,327475,290102,257445,248194,234379,220898,255010,273994,265051,227395,211726,214432,199350,202982,172340,218787,251139,234465,212680,226598,232682,247187,271956,274991,264019,272888,257666,256114,231590,247899,254571,217921,216600,240885,229610,238424,248100,274774,288906,300572,288045,273009,296826,315617,317543,366948
AZ,140275,159093,163461,169533,174623,166063,174448,169085,189965,210332,204383,225898,241355,226325,204955,164346,180181,176449,186366,180580,173977,192208,142323,120418,126844,137315,105197,121406,128594,151468,130781,128178,133771,118159,139733,127945,125265,137588,161086,167770,208137,244424,255247,275650,356264,329302,365230,401992,409966,377504,336208,293134,339043,340375,315916,365313,373916,334605,400563
CA,1301826,1400174,1483423,1623370,1817241,1813213,1982305,2048734,2187260,2189883,2241295,2265324,2303562,2154045,1937140,1937322,1849711,1864187,1646333,1900357,1890887,1947370,1765171,1601037,1739833,1925459,1591045,1992956,1860391,2047845,2101602,2208285,2294135,2213111,2334777,2109956,2017680,2185029,2418688,2379558,2456438,2513856,2318656,2317062,2462247,2304463,2375929,2467545,2472612,2391374,2325411,2196252,2456371,2480792,2409574,2384061,2248939,2190612,2207425
CO,194963,210872,202310,180366,205251,204483,207693,210209,253481,268895,274987,281846,301651,311694,302725,280996,276287,253994,234600,260824,254569,210509,224991,215094,230105,218723,198439,210148,228950,249848,247756,275761,266362,294917,280366,295686,322813,318292,334257,335458,370911,469766,463532,442361,446103,483960,465259,519918,514880,533677,510877,481614,461056,485106,501498,494922,468803,466604,525125
CT,29449,31424,33355,35575,38627,41720,48744,50826,54053,58405,61543,62417,65032,63548,67139,64331,66382,64709,66038,68752,74180,78750,80359,76585,83491,80561,81269,94690,90950,102005,108957,115834,126174,125889,134404,144937,139151,148622,134925,155902,163717,149350,181671,157310,166057,171429,175963,183604,169802,188571,203814,236016,236260,240102,242227,260925,254652,246533,285989
DC,12951,13721,14742,15335,16266,17315,17611,21923,22957,25229,26402,27663,28976,28177,27559,26210,29040,26212,26551,30129,27952,29429,29778,29633,29802,29336,29972,31422,33079,33757,29095,31287,33187,33325,31188,33201,34213,34826,31235,32964,34377,30577,33688,33700,33097,33753,29775,33856,32774,34339,33717,33389,29389,33725,35302,33654,30160,30601,32609
DE,9351,9708,14999,17082,17826,18742,19845,21948,25069,26949,26949,26981,24569,23408,20772,18975,19662,16261,21263,25758,30840,31716,28752,35512,43865,39456,33604,37254,29930,35901,40145,43374,40994,43069,50397,62739,55935,48141,42322,58089,50181,51817,53782,47978,49739,48639,44788,49937,49752,51652,56087,81710,104421,100682,107057,107828,113556,103123,99432
FL,142900,148894,162843,179441,189595,191669,220568,234326,286653,326855,350626,350527,311235,324892,302002,292139,300867,315950,333306,357014,329568,357473,339099,321010,318172,305060,298928,313553,305758,337182,341993,360992,371137,368011,417702,579310,561145,547201,529565,583448,574460,569757,708638,714826,757672,805446,917468,943845,970038,1081725,1180462,1235953,1348390,1245287,1241250,1378089,1414358,1421277,1511073
GA,188460,186255,199380,195667,215579,219774,243089,265271,295289,324940,342834,353199,341408,358532,339589,335376,268375,271811,286035,324478,325288,325161,303491,303215,315315,289696,286617,311309,331106,325860,319413,331788,351539,360194,352024,383519,393513,381726,378565,347120,421337,362695,393134,390774,406441,427825,433924,455223,436093,475294,541691,532310,625008,635287,665455,713149,727888,710209,759805
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,2780,2773,2730,2438,2687,2674,2787,2816,2909,2983,2909,2892,2847,2920,2906,2825,2689,2803,2886,2975,2920,2898,2861,2907,2898,2914,2956,2817,2712,2732,2744,2813,2871,2796,2871,2982,3027,3158
IA,193688,211826,221026,220538,244609,249988,244028,278580,303746,325026,351800,347740,347617,369016,371639,348564,313917,281367,238754,292191,270390,253991,238986,223605,238368,228388,208971,204688,240801,228223,220396,235810,232529,248804,250453,262504,274011,256790,234619,235085,233736,225233,227137,230851,227500,242788,241316,296207,329030,317392,312941,309672,299315,335598,342558,334666,348578,413032,470147
ID,22776,24808,26709,28366,33014,36092,38992,35929,40387,42389,49411,53152,60084,59296,55285,63776,49843,48269,46570,56792,51646,48107,42849,36833,40341,41115,35450,37780,41551,46904,46786,52741,50382,58294,59069,65687,69191,70801,71912,73361,74518,81804,73482,71754,78273,78118,79041,83904,90550,87072,85075,83947,90339,107089,93610,107871,110344,115899,115832
IL,536127,576551,624035,655743,737326,778662,868621,979649,1027219,1121210,1203225,1260009,1237471,1176722,1175830,1123588,1204616,1199778,1196435,1170615,1113694,1083196,1016051,976812,1074089,1000521,943690,886538,982765,1017433,960188,1006478,1011482,1053089,1046644,1099670,1140520,1099809,978337,1026415,1053319,970648,1063528,1013464,966552,984187,908302,980075,1014508,968495,974412,997722,950711,1073734,1119089,1022360,1055935,1047331,1140780
IN,219758,248273,281781,297815,333685,357502,399896,434632,454467,531512,548640,570398,580410,541215,530276,472567,420969,394286,436149,499345,483872,492875,475328,429331,455450,436421,398738,416302,463665,469446,459072,463713,488813,524508,526011,541633,579513,562765,530637,566981,584850,513752,543346,572890,531441,540671,504740,547583,558591,514548,580752,638237,657719,682842,726972,738130,782939,751431,894153
