State,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,15.921,17.081,16.254,16.697,16.629,16.993,17.34,17.499,17.301,16.716,18.217,16.448,17.237,16.804,17.072,17.167,16.201,17.285,17.486,16.518,18.4,18.074,17.153,16.425,17.953,16.857,18.282,16.642,17.119,17.099,17.609,17.638,18.197,17.34,17.382,17.476,17.244,17.962,17.678,16.17,17.531,16.934,17.297,17.499,17.622,17.816,16.982,17.516,18.015,17.393,17.695,17.562,17.773,17.994,17.612,17.718,17.903,16.437,17.382,16.614,16.851,17.426,16.73,17.126,17.461,16.757,16.94,16.457,16.66,17.083,17.425,17.544,17.571,17.584,17.46,16.298,17.305,16.935,16.658,17.287,17.028,17.725,16.519,17.402,17.437,18.134,17.487,16.969,17.042,18.536,18.039,17.039,17.127,17.518,17.536,17.066,17.254,18.787,18.271,17.911,17.678,18.022,17.513,17.838,17.857,18.296,18.423,17.57,17.607,17.461,18.124,18.735,18.957
Alaska,-5.886,-5.392,-5.65,-5.716,-4.027,-5.285,-5.583,-4.902,-6.469,-6.133,-5.061,-3.549,-4.852,-3.746,-4.024,-5.195,-6.067,-6.053,-4.958,-5.629,-4.742,-4.872,-3.842,-5.194,-4.726,-2.352,-5.559,-3.937,-3.615,-5.073,-4.4,-5.616,-6.2,-4.359,-4.804,-4.438,-4.034,-4.032,-5.308,-2.7,-3.959,-3.794,-3.911,-3.922,-4.999,-5.39,-4.555,-5.989,-4.783,-4.425,-5.081,-4.918,-4.586,-5.288,-6.153,-6.896,-3.424,-4.073,-5.471,-4.359,-5.906,-4.057,-4.279,-6.269,-5.347,-5.824,-4.003,-4.915,-4.089,-5.011,-6.615,-5.839,-5.296,-5.967,-6.158,-4.688,-3.974,-2.818,-3.503,-4.293,-2.724,-4.92,-4.121,-5.037,-4.456,-4.137,-3.673,-3.855,-4.04,-4.848,-3.999,-5.104,-2.464,-4.56,-3.559,-4.912,-3.3,-3.063,-5.628,-3.302,-3.728,-2.239,-2.805,-2.737,-2.807,-4.116,-3.252,-4.864,-3.98,-3.455,-3.793,-5.281,-2.06
Arizona,15.584,15.288,15.074,15.536,15.016,15.22,15.422,14.911,14.935,16.293,15.028,14.161,14.373,15.606,14.679,15.064,14.965,15.135,14.825,14.726,15.729,15.13,14.775,15.16,15.387,15.619,15.699,15.634,14.994,14.959,15.357,14.894,15.175,16.736,15.22,15.921,15.411,15.382,15.636,16.22,14.839,15.369,16.11,14.739,14.985,15.44,15.505,15.097,14.856,16.162,15.222,15.171,15.416,16.277,14.914,15.51,15.526,16.009,15.906,15.537,15.384,15.669,15.662,14.571,14.94,15.521,15.251,14.987,15.57,15.191,14.772,15.546,14.871,15.448,14.523,15.113,15.804,15.613,15.027,15.824,16.45,15.032,15.31,15.398,15.439,15.976,15.304,15.77,16.335,15.531,15.249,15.429,15.553,15.99,16.204,16.665,15.954,15.258,16.0,16.51,16.258,16.256,16.676,15.84,16.267,16.22,16.443,15.916,16.188,15.798,15.774,16.752,17.813
Arkansas,15.368,15.255,14.599,15.131,14.708,15.09,15.919,16.049,16.027,15.439,16.508,14.553,15.725,15.608,15.269,15.828,14.457,15.735,15.785,15.229,17.217,16.3,15.76,14.803,16.363,15.513,16.503,15.488,15.227,15.849,16.375,16.113,16.767,16.551,15.842,16.058,15.502,16.956,16.574,14.703,16.2,15.643,16.018,16.084,15.641,16.627,15.649,15.563,16.173,15.515,15.706,16.27,16.702,17.218,16.169,16.496,16.044,15.042,15.735,15.134,15.245,15.897,15.894,16.087,16.289,15.279,15.662,15.014,15.5,15.614,16.094,15.828,16.126,15.94,15.769,15.106,16.219,15.183,14.703,16.108,15.929,15.799,15.168,15.86,15.705,16.66,16.402,15.73,15.276,16.87,16.558,15.798,15.393,16.015,16.067,15.565,15.621,17.488,17.021,16.363,16.508,16.199,16.045,16.4,16.874,16.949,16.834,15.762,15.812,16.471,16.866,17.826,17.506
California,14.307,13.772,13.914,14.522,14.131,14.375,14.041,13.863,13.76,14.603,13.349,13.352,13.739,14.287,14.01,13.36,13.944,14.039,13.719,13.557,14.277,13.577,13.763,14.126,14.19,15.058,14.054,14.419,14.204,14.037,14.792,14.0,13.93,15.606,14.019,14.96,14.197,14.249,14.806,15.141,14.231,14.209,14.673,13.758,14.174,13.993,14.469,13.395,13.768,14.725,14.222,14.002,14.236,14.457,13.688,14.096,14.203,15.186,15.156,14.671,14.549,14.281,14.171,13.813,13.921,14.607,14.384,14.415,14.342,14.492,13.636,14.214,14.245,14.428,13.681,14.368,14.651,14.456,14.468,14.663,15.319,13.702,14.421,14.699,14.181,15.046,14.74,14.969,14.605,14.528,14.558,15.277,14.407,14.568,15.094,15.446,15.2,13.906,14.535,15.019,15.171,15.038,15.391,15.069,14.92,14.945,15.062,15.071,15.004,14.408,14.266,15.358,16.845
Colorado,7.256,6.966,6.06,6.984,6.303,6.744,7.265,6.536,6.367,7.876,6.874,5.482,6.078,7.02,6.33,6.457,6.143,6.628,6.38,6.294,7.856,6.834,6.333,6.052,7.171,7.157,7.005,6.734,5.987,6.547,7.307,6.535,7.576,8.963,7.438,7.537,6.918,7.427,7.562,7.494,7.123,6.758,7.704,6.698,6.838,7.679,6.948,6.62,6.797,7.378,6.437,6.918,7.674,8.603,6.873,7.43,6.852,7.574,7.167,6.898,6.703,7.378,7.997,6.57,6.878,7.126,7.148,6.594,7.127,6.947,6.791,7.063,6.425,6.984,6.44,7.089,7.929,6.954,6.47,7.661,8.413,6.74,6.911,6.578,6.695,7.921,7.328,7.232,7.336,7.472,7.193,7.289,6.491,7.989,7.518,7.524,7.048,7.808,8.016,8.205,8.143,7.721,8.254,7.617,8.102,7.974,7.828,7.089,7.219,7.759,7.392,8.992,9.403
Connecticut,8.773,9.032,8.925,7.483,8.516,9.317,8.156,9.49,9.058,9.201,9.345,8.849,10.243,8.647,9.506,8.635,7.741,8.873,9.529,8.766,10.189,9.43,8.853,8.564,9.38,8.139,9.484,9.426,9.384,9.847,10.372,9.898,9.579,8.928,9.007,9.253,9.889,10.01,9.385,8.239,9.764,9.576,9.017,9.519,9.58,9.956,9.478,9.298,10.912,9.401,10.014,10.225,10.836,9.807,9.777,9.187,10.132,8.786,10.073,9.451,9.525,8.741,9.061,9.44,9.095,9.342,8.912,9.251,9.465,9.32,9.545,8.993,10.473,9.584,10.077,9.227,9.568,8.732,9.769,9.268,9.458,9.307,10.127,9.912,9.713,9.614,9.677,9.481,9.231,10.831,10.797,9.05,9.553,9.622,9.803,9.368,9.587,11.117,10.845,9.581,10.547,10.723,9.43,9.707,10.121,11.025,10.098,10.328,9.744,11.057,10.831,11.633,11.597
Delaware,11.419,11.778,11.651,10.366,11.357,12.295,10.885,12.146,11.894,11.812,12.349,11.597,13.029,11.568,12.076,11.541,10.655,11.752,12.376,11.518,13.198,12.398,12.056,11.175,12.223,11.118,12.009,11.88,12.256,12.477,13.211,12.749,12.67,11.824,11.759,12.099,12.456,12.763,12.65,10.924,12.5,12.44,12.029,12.209,12.393,12.934,12.145,12.128,13.562,12.125,12.632,12.788,13.297,12.695,12.455,12.244,12.817,11.379,13.028,11.992,12.206,11.552,11.64,12.27,11.988,11.888,11.497,12.182,11.97,12.167,12.447,11.876,13.112,12.52,12.785,11.965,12.466,11.552,12.109,12.208,12.031,12.141,12.692,12.513,12.851,12.663,12.555,11.985,12.114,13.724,13.639,11.984,12.485,12.492,12.577,11.958,12.441,13.89,13.329,12.348,13.098,13.627,12.115,12.724,12.748,13.668,13.013,13.052,12.541,13.313,13.69,14.09,14.044
District Of Columbia,11.32,11.763,11.572,10.366,11.487,12.343,10.872,12.062,11.934,11.889,12.529,11.489,12.982,11.608,11.919,11.604,10.552,11.858,12.368,11.402,13.368,12.46,12.171,11.134,12.128,11.252,12.145,11.943,12.132,12.644,13.259,12.748,12.595,11.983,11.805,12.003,12.225,12.786,12.753,11.025,12.583,12.404,12.243,12.269,12.311,12.88,12.057,12.199,13.366,12.038,12.373,12.632,13.295,12.686,12.481,12.301,12.737,11.343,13.063,11.782,12.108,11.612,11.575,12.329,12.176,11.894,11.601,12.149,11.982,12.286,12.432,11.895,13.04,12.512,12.668,11.853,12.342,11.56,11.875,12.22,12.0,12.156,12.476,12.424,12.79,12.654,12.775,12.141,11.922,13.745,13.759,11.957,12.39,12.455,12.553,11.847,12.357,14.074,13.189,12.278,12.994,13.464,12.073,12.787,12.819,13.589,13.133,12.764,12.438,13.281,13.557,13.997,14.188
Florida,20.286,21.387,20.914,21.056,21.414,21.269,21.756,21.694,21.599,20.625,22.352,21.626,21.635,21.173,21.264,21.563,21.022,21.606,21.79,20.945,22.132,22.149,21.611,21.251,21.873,21.258,22.152,21.19,21.997,21.218,21.569,22.212,22.207,21.623,21.567,21.715,21.599,21.8,21.975,20.678,21.623,21.363,21.387,21.741,22.026,22.347,21.799,22.515,22.461,21.748,21.785,21.741,22.034,21.656,21.704,21.593,22.188,21.098,21.956,21.252,21.64,21.537,21.213,21.685,21.8,21.156,21.747,20.903,21.103,21.328,21.893,22.204,21.83,22.144,22.361,21.148,21.374,21.55,21.629,21.674,21.313,22.503,21.285,21.65,22.069,22.435,21.68,21.441,22.081,22.902,22.506,21.686,21.747,22.414,22.007,21.548,22.261,22.955,22.272,21.952,22.157,22.431,22.179,22.141,22.106,22.392,22.588,22.107,22.292,21.281,22.596,22.681,23.034
