State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,8197,9229,9683,9928,10373,10975,11593,13643,14319,16329,16979,19368,20860,19821,20775,21800,24967,27350,28777,22739,22919,24077,26511,31115,35494,41482,47458,40538,37966,40926,40041,36275,37544,37612,38690,41669,42786,45270,45669,48552,48500,50742,48702,50288,58864,58670,60306,57012,49373,46808,50952,50047,47677,44522,42083,43643,41573,39933,39466
AL,43498,43016,44490,46764,47928,48752,51050,51910,57707,63400,66093,68706,76070,83670,87355,89108,97149,104337,104944,89925,82507,81229,80414,76444,76223,75297,78351,84691,85108,89424,88333,88795,89937,92009,97036,99312,99161,96656,95655,100029,103818,100151,104297,103839,112435,111052,112219,111606,106195,99331,102725,102320,100674,98006,97821,102900,108318,105402,103220
AR,28475,30648,31867,33033,35429,34332,37365,38428,42367,46095,47835,51820,59511,65988,65907,63752,70255,77359,76095,64599,55174,53145,52081,52767,49005,49075,49234,49224,51560,51490,49771,49037,50506,53115,55394,57107,57455,59560,59522,65943,67378,66300,65947,65932,66769,66182,66260,66891,66829,64205,66146,65204,62102,62621,63811,62050,63883,63555,64817
AZ,22622,23580,25359,26834,27436,27125,29337,31025,34740,37063,39108,40696,47645,58503,58299,55395,55589,63141,64593,62748,55350,52458,51661,53580,57543,58629,61818,63310,64295,65148,64069,65598,67477,70293,71952,75875,79843,79651,86406,91358,92996,95357,97436,99545,103228,108302,110449,109473,105390,97692,97896,98493,95959,97360,97548,100755,105368,105680,107629
CA,325526,335255,335371,343232,362769,373992,396301,403547,431229,442283,451084,477436,492983,545217,516345,533392,578098,638956,649701,662545,616400,571534,517093,536893,579297,564695,576411,600970,636017,646932,634373,591136,593423,577441,603337,605219,615718,602242,607270,625953,651530,655498,679406,655623,685622,698338,706748,711081,672240,648527,648569,636714,616234,625158,627905,651531,671282,682381,681272
CO,30242,32441,34181,35261,36523,37017,39547,43287,46846,49073,50820,53561,58118,60987,59905,60626,63943,65818,69780,63126,60742,56406,58022,59812,59817,60207,61423,61447,61954,59585,60326,61378,62924,67851,69149,70893,73660,69910,74811,77609,83306,86584,82981,86952,93331,92250,95786,97448,92807,89286,92559,89397,88910,89696,92306,93183,93104,94900,98614
CT,63238,63854,66116,66488,67983,67696,71933,77414,84299,91089,96584,94260,104327,107993,99374,92817,96776,96111,98019,93010,87413,76651,76419,75115,81592,78806,82425,81924,87328,89167,77636,75508,75360,71643,68891,65503,72165,76299,74875,79338,77245,75880,70062,79776,85041,81814,74204,72403,65513,65700,64236,61750,58642,60918,60718,62020,59034,59111,61987
DC,10573,9967,10375,10686,12252,15850,16112,17448,18513,20368,21889,20531,19698,20728,16858,13273,13372,14528,13844,10130,8455,7247,8123,7801,8412,7098,8550,7845,7664,7690,6829,6474,6286,6724,6919,6742,6396,6015,6165,6130,6337,6134,6149,5488,5629,5322,4318,4178,3573,4221,4592,4287,3685,3600,3884,3953,3847,3327,3764
DE,21599,20655,21672,22619,22218,23522,23875,22426,24018,25821,27293,27379,30727,34051,33263,30765,32673,33373,32010,35338,32596,24029,21334,21678,22976,21803,22500,23193,25465,24909,24646,24670,26039,25942,25024,22569,25380,23386,23649,24206,23277,24634,23987,24500,22953,24542,22767,22464,21177,16988,16960,19582,19073,18480,18809,19986,20077,20053,21297
FL,109435,113178,127420,131289,137427,146009,149953,151129,163809,174252,189797,206964,234303,252546,237970,243506,260280,265596,278897,286781,291255,287033,253219,253988,238257,240426,270133,265484,283924,283326,281796,277216,281251,290254,299585,290015,291693,299676,330248,331741,344540,349941,342639,350017,379291,387065,370279,358373,328683,307945,324215,306759,294777,300584,304086,319776,320144,323470,334255
GA,55720,55231,60490,63311,66453,71867,76226,83280,89833,96191,102104,109928,120027,131791,127126,121033,133683,139032,138705,136083,127281,120598,118841,126262,133718,141169,138747,145651,151886,147401,149785,144223,146591,161637,163039,171219,180525,174141,178215,187509,188629,187564,187077,191625,199646,207251,201750,196970,182703,192955,197355,189743,174914,171884,166361,175194,171205,181559,175533
HI,16844,20074,19015,19931,21257,22478,25113,28252,31456,33007,34105,36734,37753,38826,36739,37097,38047,40326,40945,44660,43562,38811,35706,36291,37297,40006,39044,39389,45902,48021,50015,45758,46655,41392,44843,43842,41631,39829,40493,39662,40591,41479,44772,46861,49098,51267,51564,52905,42397,42472,42758,44383,42770,42338,41976,42787,42250,42799,44612
IA,53197,51748,53479,54824,54783,55760,60350,63550,65479,67182,66528,68698,72038,76253,73022,72649,80987,82020,80749,81876,67523,63242,65785,62283,59383,59979,60714,58298,59901,59183,57579,57995,60337,68612,71143,73150,71274,70325,76817,80861,80464,76889,80464,74843,84132,86138,87842,84336,87034,86575,87303,87364,81524,88103,90026,87928,90210,86473,88942
ID,13484,14195,14788,14511,15389,15819,16080,19059,20209,19360,19278,19753,21001,21655,22032,22973,23906,24696,26286,24729,20731,18294,17861,18664,18235,18829,19178,19354,20002,21267,21847,22043,21647,23492,24094,25702,28039,26627,27585,29972,30696,28581,29115,25905,28767,29547,30638,30594,28876,27761,30180,30140,29639,30562,31127,33787,34619,34661,35250
IL,199209,199383,202415,208153,211425,221369,225043,234802,252670,262752,272709,274241,301875,313846,303320,299978,310990,318078,330288,316576,271262,238458,219438,225005,207649,206850,212217,224511,234887,203921,202463,194821,198675,210503,213146,215677,222734,223839,219770,241875,239822,234657,229255,235653,245361,266673,256255,255449,248047,235076,235929,231595,224375,228850,234044,242507,244268,244760,246062
IN,107809,106472,108714,110976,111409,116551,119165,119142,127209,129450,132631,138911,149004,155569,153682,148392,160052,166421,168795,153280,134300,124287,116364,116211,129562,128876,137227,144365,140148,144025,148436,143014,141430,146916,151586,149138,149727,150132,149582,155515,157680,148622,158275,164440,160707,159639,160135,157360,148999,144944,143507,143308,137873,145501,147321,149476,145810,141918,143549
KS,46998,47256,49341,50352,49026,51744,52159,52972,56552,57723,57189,57665,62531,65919,66144,71288,75052,76175,78131,81298,69413,62688,64927,66237,83266,79710,76003,76628,84070,80445,76989,70426,74528,66316,64917,65162,70548,72955,73270,84060,76762,71680,69105,82121,79336,62510,64452,80474,66416,66155,67313,64220,63700,65731,68408,66179,66054,64648,66320
KY,37827,37696,42108,43226,44585,48412,53129,55281,60453,64768,67846,68748,74082,79547,78059,78966,84544,90262,94056,94116,90203,80919,80004,83607,84565,82058,83006,89019,94276,96772,92246,91952,97178,97377,97400,99780,97486,105006,107408,112661,110648,116626,126575,119745,131261,131011,131518,130845,124007,123362,122843,119731,116545,110410,113451,116751,118736,114791,119793
LA,88779,89815,94255,111160,120678,122677,134068,144320,158922,172831,176224,180931,205568,231763,242545,230872,260930,299549,312231,351467,345640,351404,329383,307978,283675,280304,292730,286809,300896,297765,304516,312517,329450,334556,358274,350162,374722,361782,348208,381195,428363,377607,383119,363307,384677,366578,396178,396182,430005,416905,404563,402463,383105,380997,372335,387576,381671,411053,402659
MA,138722,142128,145757,140376,144964,164366,166118,178160,185574,194173,211594,213789,223535,224187,199957,194096,209287,206294,202401,171979,157949,148085,139716,132023,141092,139480,157579,152372,154277,156196,142469,137598,135815,132120,128459,121743,122109,130017,133405,129118,133678,133775,129109,132538,133537,135014,122625,124125,119303,110682,112599,110935,103907,108692,107490,110282,109974,109001,111028
MD,61844,61298,65176,66091,69119,72252,76307,73341,78166,82622,93283,102955,113536,120903,116952,104680,107304,109341,110870,106164,95181,89140,84997,87377,92955,87354,87505,92847,95897,102193,90876,88902,89631,93613,94490,88522,92123,93267,98788,103264,100028,103506,100398,104956,108483,111947,102786,102466,98496,100186,95605,92152,89876,92222,92456,95321,90367,89304,90733
ME,26811,29504,28842,29794,31043,30114,31529,33848,35737,37714,40144,48344,52094,50511,44750,39001,45109,46013,42929,39401,34919,34060,39843,31370,36192,36578,42877,41433,49127,45317,43572,41697,40871,42274,44615,43184,44687,45361,44912,46943,46009,40698,41271,47832,46583,47579,42882,42975,38177,38591,37047,36733,33457,36223,36989,38600,37652,36217,34354
MI,128920,129536,134015,136873,139197,144653,150960,155339,165493,173399,174952,181438,196393,204784,197356,196401,208766,213518,221211,189955,166531,150661,138795,139125,145785,153761,160470,166913,172559,172888,164553,165604,166325,171235,172145,176308,181052,184411,185069,195707,189214,187811,191806,187589,189815,191411,179992,180757,166715,161879,158598,154943,152257,163993,166937,168110,171584,170601,177117
MN,69435,68261,71196,72598,73230,77507,82486,79785,86873,91855,94435,97523,107166,110370,105600,102651,109702,107294,109974,104732,92244,83211,86750,85636,89842,88414,90769,89318,92118,92648,92275,93822,99477,103793,107497,111477,117787,116994,116288,121888,125378,124408,125694,129311,132351,133440,129726,130701,124843,116963,116908,115297,116185,115843,116808,114404,118307,116446,118925
MO,74860,74880,78350,80510,81414,85966,89322,92701,101698,105170,106930,109534,114684,118077,114384,115247,121004,125101,129739,123471,104877,99937,102032,99155,99841,101698,104301,108186,112352,112305,108963,108523,112091,116847,122318,126329,132110,130989,138270,144167,127559,136024,137185,140394,141400,141000,139582,140795,132237,126765,125696,121846,117343,118633,122008,123265,122325,120359,122553
MS,27417,27450,29920,33087,34540,33237,35449,39447,44684,48556,51951,54730,62166,68738,69756,69194,76559,86328,91514,80447,68793,63665,57494,56685,57175,58088,61037,63766,69052,66838,69182,70623,73526,77321,74099,73468,78189,78379,83019,86340,83813,88018,79321,88572,87124,82987,85698,84380,78552,75606,78063,76542,77925,79896,82331,83413,91778,93849,89034
